id,name,platforms,desc
T1129,Shared Modules,"Windows, macOS, Linux","Adversaries may execute malicious payloads via loading shared modules. Shared modules are executable files that are loaded into processes to provide access to reusable code, such…"
T1602,Data from Configuration Repository,Network Devices,"Adversaries may collect data related to managed devices from configuration repositories. Configuration repositories are used by management systems in order to configure, manage,…"
T1561.002,Disk Structure Wipe,"Linux, macOS, Windows, Network Devices",Adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to…
T1498.001,Direct Network Flood,"Windows, IaaS, Linux, macOS",Adversaries may attempt to cause a denial of service (DoS) by directly sending a high-volume of network traffic to a target. This DoS attack may also reduce the availability and…
T1574.007,Path Interception by PATH Environment Variable,"Windows, macOS, Linux",Adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries. The PATH environment variable contains a list of directories (User…
T1213.002,Sharepoint,"Windows, Office Suite",Adversaries may leverage the SharePoint repository as a source to mine valuable information. SharePoint will often contain useful information for an adversary to learn about the…
T1006,Direct Volume Access,"Network Devices, Windows",Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with…
T1588.007,Artificial Intelligence,PRE,"Adversaries may obtain access to generative artificial intelligence tools, such as large language models (LLMs), to aid various techniques during targeting. These tools may be…"
T1666,Modify Cloud Resource Hierarchy,IaaS,Adversaries may attempt to modify hierarchical structures in infrastructure-as-a-service (IaaS) environments in order to evade defenses. IaaS environments often group resources…
T1564.008,Email Hiding Rules,"Windows, Linux, macOS, Office Suite","Adversaries may use email rules to hide inbound emails in a compromised user's mailbox. Many email clients allow users to create inbox rules for various email functions, including…"
T1491.002,External Defacement,"Windows, IaaS, Linux, macOS","An adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users. [External…"
T1027.013,Encrypted/Encoded File,"Linux, macOS, Windows","Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection. Encrypting and/or encoding file content aims to conceal…"
T1590.005,IP Addresses,PRE,"Adversaries may gather the victim's IP addresses that can be used during targeting. Public IP addresses may be allocated to organizations by block, or a range of sequential…"
T1499.001,OS Exhaustion Flood,"Linux, macOS, Windows",Adversaries may launch a denial of service (DoS) attack targeting an endpoint's operating system (OS). A system's OS is responsible for managing the finite resources as well as…
T1014,Rootkit,"Linux, macOS, Windows","Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the…"
T1546.013,PowerShell Profile,Windows,Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles. A PowerShell profile (<code>profile.ps1</code>) is a…
T1059.007,JavaScript,"Windows, macOS, Linux",Adversaries may abuse various implementations of JavaScript for execution. JavaScript (JS) is a platform-independent scripting language (compiled just-in-time at runtime) commonly…
T1590.002,DNS,PRE,"Adversaries may gather information about the victim's DNS that can be used during targeting. DNS information may include a variety of details, including registered name servers as…"
T1485.001,Lifecycle-Triggered Deletion,IaaS,Adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within. Cloud storage buckets often allow users to set lifecycle policies to…
T1123,Audio Capture,"Linux, macOS, Windows","An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the…"
T1543,Create or Modify System Process,"Windows, macOS, Linux, Containers","Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence. When operating systems boot up, they can start processes…"
T1133,External Remote Services,"Windows, Linux, Containers, macOS","Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms…"
T1546.006,LC_LOAD_DYLIB Addition,macOS,Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. Mach-O binaries have a series of headers that are used to…
T1539,Steal Web Session Cookie,"Linux, macOS, Windows, SaaS, Office Suite",An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing…
T1053.007,Container Orchestration Job,Containers,Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute…
T1568.002,Domain Generation Algorithms,"Linux, macOS, Windows, ESXi",Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of…
T1036.007,Double File Extension,Windows,Adversaries may abuse a double extension in the filename as a means of masquerading the true file type. A file name may include a secondary file type extension that may cause only…
T1548.002,Bypass User Account Control,Windows,Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity…
T1496.003,SMS Pumping,SaaS,"Adversaries may leverage messaging services for SMS pumping, which may impact system and/or hosted service availability.(Citation: Twilio SMS Pumping) SMS pumping is a type of…"
T1016.001,Internet Connection Discovery,"Windows, Linux, macOS, ESXi",Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using…
T1548.003,Sudo and Sudo Caching,"Linux, macOS",Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher…
T1560.003,Archive via Custom Method,"Linux, macOS, Windows","An adversary may compress or encrypt data that is collected prior to exfiltration using a custom method. Adversaries may choose to use custom archival methods, such as encryption…"
T1578,Modify Cloud Compute Infrastructure,IaaS,An adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses. A modification to the compute service infrastructure can include the…
T1584.008,Network Devices,PRE,"Adversaries may compromise third-party network devices that can be used during targeting. Network devices, such as small office/home office (SOHO) routers, may be compromised…"
T1583.008,Malvertising,PRE,Adversaries may purchase online advertisements that can be abused to distribute malware to victims. Ads can be purchased to plant as well as favorably position artifacts in…
T1069,Permission Groups Discovery,"Windows, SaaS, IaaS, Linux, macOS, Containers, Office Suite, Identity Provider","Adversaries may attempt to discover group and permission settings. This information can help adversaries determine which user accounts and groups are available, the membership of…"
T1114,Email Collection,"Windows, macOS, Linux, Office Suite","Adversaries may target user email to collect sensitive information. Emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to…"
T1003.002,Security Account Manager,Windows,Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where…
T1596.002,WHOIS,PRE,Adversaries may search public WHOIS data for information about victims that can be used during targeting. WHOIS data is stored by regional Internet registries (RIR) responsible…
T1542.001,System Firmware,"Windows, Network Devices",Adversaries may modify system firmware to persist on systems.The BIOS (Basic Input/Output System) and The Unified Extensible Firmware Interface (UEFI) or Extensible Firmware…
T1594,Search Victim-Owned Websites,PRE,"Adversaries may search websites owned by the victim for information that can be used during targeting. Victim-owned websites may contain a variety of details, including names of…"
T1069.003,Cloud Groups,"SaaS, IaaS, Office Suite, Identity Provider",Adversaries may attempt to find cloud groups and permission settings. The knowledge of cloud permission groups can help adversaries determine the particular roles of users and…
T1574.011,Services Registry Permissions Weakness,Windows,Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Adversaries may use flaws in the permissions for Registry keys related to…
T1596.001,DNS/Passive DNS,PRE,"Adversaries may search DNS data for information about victims that can be used during targeting. DNS information may include a variety of details, including registered name…"
T1499.003,Application Exhaustion Flood,"Windows, IaaS, Linux, macOS","Adversaries may target resource intensive features of applications to cause a denial of service (DoS), denying availability to those applications. For example, specific features…"
T1195.001,Compromise Software Dependencies and Development Tools,"Linux, macOS, Windows",Adversaries may manipulate software dependencies and development tools prior to receipt by a final consumer for the purpose of data or system compromise. Applications often depend…
T1588.004,Digital Certificates,PRE,Adversaries may buy and/or steal SSL/TLS certificates that can be used during targeting. SSL/TLS certificates are designed to instill trust. They include information about the…
T1583.002,DNS Server,PRE,"Adversaries may set up their own Domain Name System (DNS) servers that can be used during targeting. During post-compromise activity, adversaries may utilize DNS traffic for…"
T1561,Disk Wipe,"Linux, macOS, Windows, Network Devices",Adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources. With direct write…
T1071.004,DNS,"Linux, macOS, Windows, Network Devices, ESXi",Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to…
T1552.005,Cloud Instance Metadata API,IaaS,Adversaries may attempt to access the Cloud Instance Metadata API to collect credentials and other sensitive data. Most cloud service providers support a Cloud Instance Metadata…
T1555.002,Securityd Memory,"Linux, macOS",An adversary with root access may gather credentials by reading `securityd`’s memory. `securityd` is a service/daemon responsible for implementing security protocols such as…
T1615,Group Policy Discovery,Windows,"Adversaries may gather information on Group Policy settings to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in…"
T1542.003,Bootkit,"Linux, Windows","Adversaries may use bootkits to persist on systems. A bootkit is a malware variant that modifies the boot sectors of a hard drive, allowing malicious code to execute before a…"
T1025,Data from Removable Media,"Linux, macOS, Windows",Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical…
T1218.013,Mavinject,Windows,"Adversaries may abuse mavinject.exe to proxy execution of malicious code. Mavinject.exe is the Microsoft Application Virtualization Injector, a Windows utility that can inject…"
T1074.001,Local Data Staging,"Linux, Windows, macOS, ESXi",Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file…
T1036.005,Match Legitimate Resource Name or Location,"Linux, macOS, Windows, Containers, ESXi","Adversaries may match or approximate the name or location of legitimate files, Registry keys, or other resources when naming/placing them. This is done for the sake of evading…"
T1587.003,Digital Certificates,PRE,Adversaries may create self-signed SSL/TLS certificates that can be used during targeting. SSL/TLS certificates are designed to instill trust. They include information about the…
T1565.001,Stored Data Manipulation,"Linux, macOS, Windows","Adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye…"
T1110.002,Password Cracking,"Linux, macOS, Windows, Network Devices, Office Suite, Identity Provider","Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained. [OS…"
T1114.001,Local Email Collection,Windows,"Adversaries may target user email on local systems to collect sensitive information. Files containing email data can be acquired from a user’s local system, such as Outlook…"
T1555.001,Keychain,macOS,"Adversaries may acquire credentials from Keychain. Keychain (or Keychain Services) is the macOS credential management system that stores account names, passwords, private keys,…"
T1547,Boot or Logon Autostart Execution,"Linux, macOS, Windows, Network Devices",Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised…
T1003.004,LSA Secrets,Windows,"Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as…"
T1600,Weaken Encryption,Network Devices,Adversaries may compromise a network device’s encryption capability in order to bypass encryption that would otherwise protect data communications. (Citation: Cisco Synful Knock…
T1606.002,SAML Tokens,"SaaS, Windows, IaaS, Office Suite, Identity Provider",An adversary may forge SAML tokens with any permissions claims and lifetimes if they possess a valid SAML token-signing certificate.(Citation: Microsoft SolarWinds Steps) The…
T1036.008,Masquerade File Type,"Linux, macOS, Windows","Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file’s signature, extension, icon, and contents.…"
T1489,Service Stop,"Windows, Linux, macOS, ESXi",Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response…
T1587.001,Malware,PRE,"Adversaries may develop malware and malware components that can be used during targeting. Building malicious software can include the development of payloads, droppers, post-…"
T1652,Device Driver Discovery,"Linux, macOS, Windows","Adversaries may attempt to enumerate local device drivers on a victim host. Information about device drivers may highlight various insights that shape follow-on behaviors, such as…"
T1087.002,Domain Account,"Linux, macOS, Windows",Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as…
T1547.014,Active Setup,Windows,Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine. Active Setup is a Windows mechanism that is used to execute programs when a…
T1564,Hide Artifacts,"Linux, Office Suite, Windows, macOS, ESXi","Adversaries may attempt to hide artifacts associated with their behaviors to evade detection. Operating systems may have features to hide various artifacts, such as important…"
T1559.002,Dynamic Data Exchange,Windows,Adversaries may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands. DDE is a client-server protocol for one-time and/or continuous inter-process communication…
T1204.002,Malicious File,"Linux, macOS, Windows",An adversary may rely upon a user opening a malicious file in order to gain execution. Users may be subjected to social engineering to get them to open a file that will lead to…
T1591.003,Identify Business Tempo,PRE,Adversaries may gather information about the victim's business tempo that can be used during targeting. Information about an organization’s business tempo may include a variety of…
T1071.005,Publish/Subscribe Protocols,"macOS, Linux, Windows, Network Devices",Adversaries may communicate using publish/subscribe (pub/sub) application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to…
T1592.001,Hardware,PRE,Adversaries may gather information about the victim's host hardware that can be used during targeting. Information about hardware infrastructure may include a variety of details…
T1080,Taint Shared Content,"Windows, SaaS, Linux, macOS, Office Suite","Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network…"
T1484.002,Trust Modification,"Windows, Identity Provider","Adversaries may add new domain trusts, modify the properties of existing domain trusts, or otherwise change the configuration of trust relationships between domains and tenants to…"
T1573.001,Symmetric Cryptography,"Linux, Windows, macOS, Network Devices, ESXi",Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication…
T1087.001,Local Account,"Linux, macOS, Windows, ESXi",Adversaries may attempt to get a listing of local system accounts. This information can help adversaries determine which local accounts exist on a system to aid in follow-on…
T1586.001,Social Media Accounts,PRE,"Adversaries may compromise social media accounts that can be used during targeting. For operations incorporating social engineering, the utilization of an online persona may be…"
T1176.001,Browser Extensions,"Linux, Windows, macOS",Adversaries may abuse internet browser extensions to establish persistent access to victim systems. Browser extensions or plugins are small programs that can add functionality to…
T1562.009,Safe Mode Boot,Windows,Adversaries may abuse Windows safe mode to disable endpoint defenses. Safe mode starts up the Windows operating system with a limited set of drivers and services. Third-party…
T1542.005,TFTP Boot,Network Devices,Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server. TFTP boot (netbooting) is commonly…
T1543.003,Windows Service,Windows,"Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence. When Windows boots up, it starts programs or applications called…"
T1568.001,Fast Flux DNS,"Linux, macOS, Windows, ESXi",Adversaries may use Fast Flux DNS to hide a command and control channel behind an array of rapidly changing IP addresses linked to a single domain resolution. This technique uses…
T1497.001,System Checks,"Linux, macOS, Windows",Adversaries may employ various system checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for…
T1053.003,Cron,"Linux, macOS, ESXi",Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.(Citation: 20 macOS Common Tools and…
T1069.002,Domain Groups,"Linux, macOS, Windows",Adversaries may attempt to find domain-level groups and permission settings. The knowledge of domain-level permission groups can help adversaries determine which groups exist and…
T1588.006,Vulnerabilities,PRE,"Adversaries may acquire information about vulnerabilities that can be used during targeting. A vulnerability is a weakness in computer hardware or software that can, potentially,…"
T1566.002,Spearphishing Link,"Linux, macOS, Windows, SaaS, Identity Provider, Office Suite",Adversaries may send spearphishing emails with a malicious link in an attempt to gain access to victim systems. Spearphishing with a link is a specific variant of spearphishing.…
T1070.002,Clear Linux or Mac System Logs,"Linux, macOS",Adversaries may clear system logs to hide evidence of an intrusion. macOS and Linux both keep track of system or user-initiated actions via system logs. The majority of native…
T1499.004,Application or System Exploitation,"Windows, IaaS, Linux, macOS",Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. (Citation: Sucuri BIND9 August 2015) Some systems…
T1137,Office Application Startup,"Windows, Office Suite",Adversaries may leverage Microsoft Office-based applications for persistence between startups. Microsoft Office is a fairly common application suite on Windows-based operating…
T1218.004,InstallUtil,Windows,Adversaries may use InstallUtil to proxy execution of code through a trusted Windows utility. InstallUtil is a command-line utility that allows for installation and uninstallation…
T1598.003,Spearphishing Link,PRE,Adversaries may send spearphishing messages with a malicious link to elicit sensitive information that can be used during targeting. Spearphishing for information is an attempt to…
T1021.004,SSH,"Linux, macOS, ESXi",Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the…
T1098.003,Additional Cloud Roles,"IaaS, SaaS, Office Suite, Identity Provider","An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant. For example, adversaries may update IAM…"
T1547.012,Print Processors,Windows,Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation. Print processors are DLLs that are loaded by the print…
T1566.001,Spearphishing Attachment,"macOS, Windows, Linux",Adversaries may send spearphishing emails with a malicious attachment in an attempt to gain access to victim systems. Spearphishing attachment is a specific variant of…
T1027.008,Stripped Payloads,"macOS, Linux, Windows, Network Devices","Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information. Scripts and executables may contain variables…"
T1559.001,Component Object Model,Windows,Adversaries may use the Windows Component Object Model (COM) for local code execution. COM is an inter-process communication (IPC) component of the native Windows application…
T1574.001,DLL,Windows,"Adversaries may abuse dynamic-link library files (DLLs) in order to achieve persistence, escalate privileges, and evade defenses. DLLs are libraries that contain code and data…"
T1119,Automated Collection,"Linux, macOS, Windows, IaaS, SaaS, Office Suite","Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of a…"
T1115,Clipboard Data,"Linux, Windows, macOS","Adversaries may collect data stored in the clipboard from users copying information within or between applications. For example, on Windows adversaries can access clipboard data…"
T1003.007,Proc Filesystem,Linux,Adversaries may gather credentials from the proc filesystem or `/proc`. The proc filesystem is a pseudo-filesystem used as an interface to kernel data structures for Linux based…
T1583.005,Botnet,PRE,"Adversaries may buy, lease, or rent a network of compromised systems that can be used during targeting. A botnet is a network of compromised systems that can be instructed to…"
T1555.005,Password Managers,"Linux, macOS, Windows",Adversaries may acquire user credentials from third-party password managers.(Citation: ise Password Manager February 2019) Password managers are applications designed to store…
T1553.001,Gatekeeper Bypass,macOS,Adversaries may modify file attributes and subvert Gatekeeper functionality to evade user prompts and execute untrusted programs. Gatekeeper is a set of technologies that act as…
T1675,ESXi Administration Command,ESXi,Adversaries may abuse ESXi administration services to execute commands on guest machines hosted within an ESXi virtual environment. Persistent background services on ESXi-hosted…
T1608.004,Drive-by Target,PRE,Adversaries may prepare an operational environment to infect systems that visit a website over the normal course of browsing. Endpoint systems may be compromised through browsing…
T1007,System Service Discovery,"Windows, macOS, Linux",Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such…
T1040,Network Sniffing,"Linux, macOS, Windows, Network Devices, IaaS","Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to…"
T1553.002,Code Signing,"macOS, Windows","Adversaries may create, acquire, or steal code signing materials to sign their malware or tools. Code signing provides a level of authenticity on a binary from the developer and a…"
T1530,Data from Cloud Storage,"IaaS, SaaS, Office Suite","Adversaries may access data from cloud storage. Many IaaS providers offer solutions for online data object storage such as Amazon S3, Azure Storage, and Google Cloud Storage.…"
T1565.003,Runtime Data Manipulation,"Linux, macOS, Windows","Adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user, thus threatening the integrity of the data.(Citation: FireEye APT38…"
T1552.002,Credentials in Registry,Windows,Adversaries may search the Registry on compromised systems for insecurely stored credentials. The Windows Registry stores configuration information that can be used by the system…
T1135,Network Share Discovery,"macOS, Windows, Linux",Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify…
T1120,Peripheral Device Discovery,"Windows, macOS, Linux",Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system.(Citation: Peripheral Discovery Linux)(Citation:…
T1036.009,Break Process Trees,"Linux, macOS",An adversary may attempt to evade process tree-based analysis by modifying executed malware's parent process ID (PPID). If endpoint protection software leverages the “parent-…
T1590.004,Network Topology,PRE,"Adversaries may gather information about the victim's network topology that can be used during targeting. Information about network topologies may include a variety of details,…"
T1587.002,Code Signing Certificates,PRE,Adversaries may create self-signed code signing certificates that can be used during targeting. Code signing is the process of digitally signing executables and scripts to confirm…
T1222.001,Windows File and Directory Permissions Modification,Windows,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June…
T1137.006,Add-ins,"Windows, Office Suite",Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system. Office add-ins can be used to add functionality to Office programs. (Citation:…
T1505.002,Transport Agent,"Linux, Windows",Adversaries may abuse Microsoft transport agents to establish persistent access to systems. Microsoft Exchange transport agents can operate on email messages passing through the…
T1082,System Information Discovery,"Windows, IaaS, Linux, macOS, Network Devices, ESXi","An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture. Adversaries…"
T1071,Application Layer Protocol,"Linux, macOS, Windows, Network Devices, ESXi","Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and…"
T1574.014,AppDomainManager,Windows,Adversaries may execute their own malicious payloads by hijacking how the .NET `AppDomainManager` loads assemblies. The .NET framework uses the `AppDomainManager` class to create…
T1074.002,Remote Data Staging,"Windows, IaaS, Linux, macOS, ESXi",Adversaries may stage data collected from multiple systems in a central location or directory on one system prior to Exfiltration. Data may be kept in separate files or combined…
T1098.006,Additional Container Cluster Roles,Containers,An adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system. For…
T1053,Scheduled Task/Job,"Windows, Linux, macOS, Containers, ESXi",Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code. Utilities exist within all major operating systems to schedule…
T1218.007,Msiexec,Windows,Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the command-line utility for the Windows Installer and is thus commonly associated with…
T1590.003,Network Trust Dependencies,PRE,Adversaries may gather information about the victim's network trust dependencies that can be used during targeting. Information about network trusts may include a variety of…
T1498.002,Reflection Amplification,"Windows, IaaS, Linux, macOS",Adversaries may attempt to cause a denial of service (DoS) by reflecting a high-volume of network traffic to a target. This type of Network DoS takes advantage of a third-party…
T1556.002,Password Filter DLL,Windows,Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated. Windows…
T1505.005,Terminal Services DLL,Windows,"Adversaries may abuse components of Terminal Services to enable persistent access to systems. Microsoft Terminal Services, renamed to Remote Desktop Services in some Windows…"
T1059.002,AppleScript,macOS,Adversaries may abuse AppleScript for execution. AppleScript is a macOS scripting language designed to control applications and parts of the OS via inter-application messages…
T1176,Software Extensions,"Linux, macOS, Windows",Adversaries may abuse software extensions to establish persistent access to victim systems. Software extensions are modular components that enhance or customize the functionality…
T1499.002,Service Exhaustion Flood,"Windows, IaaS, Linux, macOS","Adversaries may target the different network services provided by systems to conduct a denial of service (DoS). Adversaries often target the availability of DNS and web services,…"
T1195.003,Compromise Hardware Supply Chain,"Linux, macOS, Windows",Adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise. By modifying hardware or firmware in…
